part
앞범퍼(스틸형)하단
앞범퍼
헤드램프(좌)
헤드램프(우)
앞패널
앞휀다(좌)
앞사이드멤버(좌)
앞사이드멤버(우)
인터쿨러 
앞범퍼(신품)수용성
앞휀다(좌)(보수)수용성
앞사이드멤버(좌)(보수)
앞사이드멤버(우)(보수)
뒤범퍼(단독작업)
"뒤범퍼 신품가 839,718"
컴비네이션램프(좌)
컴비네이션램프(우)
뒤범퍼 레일 그린수가 50%청구
"뒤범퍼 레일 신품가 449,460"
백패널
뒤범퍼(보수) 수용성
백패널(보수) 수용성
유리막 재시공
앞휠하우스(우)
라디에터그릴
주차센서 및 배선
본네트
앞휀다(우)
프론트서스팬션ASS'Y(우)
등속조인트고무(우)
"프론트쇽업쇼버(킷트교환시,"
"도어(앞우,자동문)(일체힌지"
허브(앞우)
앞범퍼(보수)
본네트(보수)
앞휀다(우)(보수)
"도어(앞우)(보수,5Dr)"
앞휠하우스(우)(보수)
라디에터그릴 좌
라디에터그릴 우
앞범퍼 그린수가 50%청구
"앞범퍼 신품가 1,001,110"
헤드램프(좌)그린수가 50%청구
"헤드램프 신품가(좌)2,230,800"
앞휀다(좌)(보수)
"도어(뒤우,자동문)(일체힌지"
"도어(뒤우,자동문)그린수가 60%청구"
"도어(뒤우)신품가1,601,622"
"뒤휀다(우,5도어형)그린수가 50%청구"
"뒤휀다 신품가 1,436,292"
주유규 커버 
뒤범퍼
휠(뒤우)그린수가 60%청구
"휠(뒤우)신품가 1,049,796"
"도어(뒤우)(보수,5Dr)"
뒤범퍼(보수)
"뒤휀다(우)(보수,5Dr)"
앞범퍼 그린수가 60%청구 
"앞범퍼 신품가 487,200"
본넷 에어백 
"도어(앞우,자동문)그린수가50%청구"
"도어(앞우)신품가 527,700"
사이드스탭패널(외측)(우)
휠(앞우)그린수가60%청구
"휠(앞우)신품가523,710"
앞범퍼(보수) 수용성
 앞휀다(우) 수용성
"도어(앞우)(보수,5Dr)수용성"
사이드스텝패널(우)(보수)수용성
앞범퍼 그린수가 그린수가 40%청구
"앞범퍼 신품가 489,951"
 라디에이터그릴 우
헤드램프 그린수가 50%청구
"헤드램프 신품가 912,483"
포그램프(우)
"도어(앞우,자동문)"
앞범퍼(신품)
본네트(신품)
"도어(앞좌,자동문)"
사이드스탭패널(외측)(좌)
"도어(앞좌,자동문)(일체힌지"
사이드미러(자동)(좌)
도어(앞좌)(보수)
후론트 범퍼
후론트 휀다(우)
후론트 도어(우)
슬라이딩 도어(우)
리어 휀다(우)
"타이어(앞,우)"
"타이어(뒤,우)"
후론트 범퍼교환
후론트 휀다(우)판금
후론트 도어(우)판금
슬라이딩 도어(우)판금
리어 휀다(우)판금
공통시간작업
가열건조비
리어 도어(우)
"사이드 스텝 패널(외측,우)"
리어 휠가드(우)
"안전벨트(뒤,우)"
"리어 휠하우스(외측,우)"
리어 컴비네이션램프(좌)
리어 컴비네이션램프(우)
리어 범퍼 커버
리어휀다 공장 일괄청구
리어 도어(우)판금
"사이드 스텝 패널(외측,우)판금"
리어 휀다(우)교환
"리어 휠하우스(외측,우)판금"
리어 범퍼 커버판금
"앞범퍼 신품가 389,862"
헤드램프(좌)그린수가 60%청구
"헤드램프(좌)신품가 438,471"
리어범퍼
리어 범퍼판금
앞범퍼(단독작업)
"도어(뒤우,자동문)그린수가40%청구"
"도어신품가133,134"
"도어(뒤우)(보수,5Dr)수용성"
"해드램프(좌)  신품가 3,276,900"
도어(앞좌)눈섭몰딩 재사용
"도어(뒤좌,자동문)(일체힌지"
도어(뒤좌)눈섭몰딩 재사용
사이드스탭몰딩(좌)
뒤 주차센서 및 배선
뒤휀다(좌)
휠 (앞좌)그린수가50%청구
"휠(앞좌)신품가 773,300"
휠 (뒤좌)
앞범퍼(보수)수용성
도어(앞좌)(보수)수용성
도어(뒤좌)(보수)수용성
"뒤휀다(좌)(보수,5Dr)수용성"
뒤범퍼(보수)수용성
사이드스탭몰딩(좌)수용성
후론트 범퍼 커버
전방 감지 센서
후론트 범퍼 커버판금
수용성 25%추가청구 
"뒤휀다(좌)(보수,5Dr)"
백패널(보수)
후론트 범퍼(상단)판금
수용성25% 추가청구
뒤범퍼 그린수가 50%청구
"뒤범퍼 신픔가 629,739"
뒤휀다(좌)그린수가 50%청구
"뒤휀다 신품가804,672"
휠(뒤좌)
수용성 도장 추가청구25%
후론트 휀다(좌)
후론트 휀다(좌)판금
수용성 25%추가청구
리어 범퍼교환
앞범퍼 frp
앞범퍼 FRP보수 
"앞범퍼 FRP 커스텀 신품가1,900,000"
후론트휀다(좌)
후드
후론트휀다(좌)교환
후드판금
"도어(뒤우,자동문)"
뒤휀다(우)
(우) 뒤 휠
"뒤휀다(우)(신품,4Dr)"
"도어(뒤좌,자동문)"
좌)앞뒤휠
후론트 도어(좌)
리어 도어(좌)
사이드스텝몰딩(좌)
후론트 도어(좌)교환
리어 도어(좌)교환
사이드스텝패널(좌)교환
수용성 25% 추가청구 
실리콘 헨켈
"앞범퍼 신품가 (325,800)"
앞범퍼 그린수가 50% 청구
전방센서 및 배선
휀다몰딩(앞좌)
범퍼하단교환
"앞라이트(좌) 신품가(271,100)"
앞라이트(좌) 그린수가 50%청구
라이트 크롬몰딩(좌)
"앞휀다(좌,보수)"
"도어 트림(앞,좌)"
"도어 트림(뒤,좌)"
수용성도장 25%추가청구
후론트 패널
"헤드램프(좌) 신품가 380,000"
헤드램프(좌) 그린수가40%청구
유리막청구 
후론트 범퍼 커버교환
앞패널교환
도어(앞우) 도어몰딩
도어(앞우)눈섭몰딩 재사용
도어(뒤우) 도어몰딩
도어(뒤우)눈섭몰딩 재사용
센터필라(외측)(우)
사이드미러(자동)(우)
"도어(앞우)(신품,5Dr)"
센터필러(우)(보수)
"도어(앞우,자동문) 신품가 (1,492,900)"
"도어(앞우,자동문) 그린수가50% 청구"
뒤범퍼(신품)
우 앞 휠
"휠 신품가 (787,000)"
휠 그린수가 50%청구
본네트(보수)수용성
안개등그릴
센터그릴
하단그릴
라디에터그릴브라켓
헤더패널
본네트힌지(좌)
본네트힌지(우)
본네트쇼바(우)
본네트록크
본네트케이블
실내바닥(앞)
실내바닥(뒤)
본네트인슐레이션
헤드램프브라켓(좌)
헤드램프브라켓(우)
휠가아드(앞좌)
앞휠하우스(좌)
머드가드(앞우)
히터및에버포레이터(동시작업
시트(앞좌)(전동식)
시트(앞우)(전동식)
안전벨트(앞좌)
안전벨트(앞우)
엔진룸배선
라이트배선
인스트루먼트배선
키셋트
와이퍼링케이지
와이퍼모터
후론트필라트림(좌)
후론트필라트림(우)
센타필라트림(좌)
센타필라트림(우)
리어필라트림(좌)
리어필라트림(우)
ECU
디스트리뷰다
와셔탱크
브레이크마스터실린더
ABS센서(앞우)
브레이크페달
클러치마스터실린더
휠얼라이먼트(전자식)
오일팬 
카울그릴
카울패널
대쉬패널
윈도우필러(좌)
후론트필러(우)
뒤휀다(우)(연료주입구측)
주유구 커버
사이드 스텝몰딩 
루프톱씰링
크러쉬패드Ass'y(전자식종합
크러쉬로워패드
콘솔박스(앞)
콘솔박스(뒤)
종합계기Ass'y(전자식)
시트(앞좌)
시트(앞우)
에어콘콘덴샤(오토형)
에어콘파이프NO1
에어콘파이프NO2
에어콘파이프NO3
에어콘파이프NO4
에어콘개스
에어콘휀
에어콘드라이탱크
라디에타휀
라디에타리저브탱크
엔진ASS'Y(F.R형)
엔진마운틴및브라켓(좌)
엔진마운틴및브라켓(우)
엔진마운틴및브라켓(앞)
엔진마운틴및브라켓(뒤)
선루프 
1번머플러
2번머플러(중간)
3번머플러(뒤)
프로펠라샤후드
엔진크로스멤바
타이어(앞우)
뒤휀다(좌)(연료주입구측)
스티어링컬럼ASS'Y
차대번호 각자 등록사업소 
메인 배선수리 그린수가 40%청구
"배선 신품가 3,524,580"
본네트(신품)수용성
앞휀다(우)(신품)수용성
앞휠하우스(좌)(보수)수용성
앞휠하우스(우)(신품)수용성
앞사이드멤버(좌)(보수)수용성
앞사이드멤버(우)(신품)수용성
후론트필러(우)(보수)수용성
사이드 스텝몰딩 수용성
루프패널(보수)수용성
실리콘
"뒤휀다(우)(보수,5Dr)수용성"
주유구 커버수용성
"도어 (뒤좌) 신품가 2,528,500"
도어 (뒤좌) 그린수가 50%청구
"뒤휀다(좌)(5도어형) 신품가 2,853,100"
뒤휀다(좌)(5도어형) 50% 청구
"사이드스텝 신품가 1,281,200"
사이드스텝 50%청구
사이드스텝(내측)(좌)
"휠 신품가 2,173,500"
"(우) 뒤휠 신품가 731,800"
(우) 뒤휠 그린수가 50%청구
"뒤휀다(우)(신품,5Dr)"
뒤휀다(좌)(3도어형)
"뒤휀다(좌)(보수,3Dr)"
백도어
뒤테일램프(좌)
뒤테일램프(우)
백도어(보수)수용성
백패널수용성
"뒤휀다(우,5도어,연료주입구"
"(우) 뒤휠 신품가 862,000"
(우)뒤휠 그린수가 50% 청구
주유구커버
휠 (뒤우) 다이아컷팅휠
"휠(뒤우)신품가 871,992"
사이드스탭(외측)(좌)
"앞휀다 (좌) 신품가 227,300"
앞휀다 (좌) 그린수가 50%청구
"도어(앞좌)(신품,4Dr)"
"도어(뒤좌)(보수,5Dr)"
