,maker,car
98025,현대 / 승용,아반떼AD(16)
98026,현대 / 승용,아반떼AD(16)
98027,현대 / 승용,아반떼AD(16)
98028,현대 / RV,올뉴투싼(15)
98029,현대 / 승용,아반떼AD(16)
98030,쌍용 / RV,티볼리
98031,현대 / 승용,아반떼AD(16)
98032,기아 / 승용,K5(15)
98033,현대 / 승용,아반떼AD(16)
98034,현대 / 승용,아반떼AD(16)
98035,현대 / RV,코나
98036,현대 / 승용,아반떼AD(16)
98037,현대 / 승용,아반떼AD(16)
98038,현대 / 승용,그랜져IG(17)
98039,현대 / 승용,아반떼AD(16)
98040,기아 / 승용,레이(18)
98041,현대 / 승용,아반떼AD(16)
98042,기아 / 승용,레이(18)
98043,현대 / 승용,아반떼AD(16)
98044,기아 / RV,올뉴카니발(14)
98045,한국GM / RV,트랙스
98046,현대 / RV,올뉴투싼(15)
98047,기아 / 승용,K3(18)
98048,기아 / 승용,프라이드5DR(15)
98049,현대 / RV,코나
98050,기아 / 승용,스팅어(17)
98051,쌍용 / RV,티볼리
98052,현대 / RV,코나
98053,현대 / 승용,아반떼AD(16)
98054,현대 / 승용,아반떼AD(16)
98055,한국GM / 승용,더넥스트스파크
98056,현대 / 승용,아반떼AD(16)
98057,현대 / 승용,아반떼AD(16)
98058,쌍용 / RV,티볼리
98059,현대 / RV,코나EV(19)
98060,기아 / RV,스포티지(16)
98061,현대 / RV,
98062,현대 / 승용,아반떼AD(16)
98063,현대 / 승용,아반떼AD(16)
98064,현대 / 승용,아이오닉
98065,현대 / 승용,아반떼AD(16)
98066,현대 / RV,그랜드스타렉스웨건(18)
